subway_station,address,latitude,longitude
낙성대역,서울 관악구 남부순환로 1928,37.4770623,126.9634876
숭실대입구역,서울 동작구 상도로 378,37.5040105,126.9376211
망원역,서울 마포구 월드컵로 77,37.563408,126.9015758
중곡역,서울 광진구 능동로 417,37.5657003,127.0841887
장한평역,서울 동대문구 천호대로 405,37.5619906,127.0641457
논현역,서울 강남구 학동로 102,37.5195513,127.0520609
마포구청역,서울 마포구 월드컵로 190,37.5641812,126.90311926403774
교대역,서울 서초구 서초대로 294,37.4936592,127.0137025
서초역,서울 서초구 서초대로 233,37.4917747,127.007681
고속터미널역,서울 서초구 신반포로 188,37.5075133,127.0096011
반포역,서울 서초구 신반포로 241,37.5075133,127.0096011
남부터미널역,서울 서초구 서초중앙로 31,37.5031307,127.0112106
사평역,서울 서초구 사평대로 285,37.503594,127.0216192
신반포역,서울 서초구 신반포로 105,37.5075133,127.0096011
방배역,서울 서초구 방배로 80,37.4814662,126.9977072
사당역,서울 동작구 남부순환로 2089,37.4765828,126.9816682
총신대입구(이수)역,서울 동작구 동작대로 117,37.5055157,126.9802738
녹사평역,서울 용산구 녹사평대로 195,37.5184644,126.9946455
한남역,서울 용산구 독서당로6길 12-13,37.5300744,127.0085057
안암역,서울 성북구 고려대로 89,37.5864301,127.0292553
보문역,서울 성북구 보문로 116,37.5866501,127.0196841
미아사거리역,서울 강북구 도봉로 50,37.616649,127.0299619
길음역,서울 성북구 동소문로 248,37.603467,127.0245563
회기역,서울 동대문구 회기로 196,37.5898066,127.05811124453979
외대앞역,서울 동대문구 휘경로 27,37.59540155,127.06307495168974
신이문역,서울 동대문구 한천로 472,37.6023735,127.06755859044577
답십리역,서울 성동구 천호대로 300,37.571861524013386,127.04406330622453
중화역,서울 중랑구 동일로 797,37.6159363,127.0762601
석계역,서울 노원구 화랑로 341,37.614565,127.0637752
사가정역,서울 중랑구 사가정로 393,37.5804146,127.0907342
북한산보국문역,서울 성북구 정릉동 286-19,37.61654,126.99794
월곡역,서울 성북구 장월로1길 91,37.6047888,127.0434659
태릉입구역,서울 노원구 공릉동 678-1,37.63021,127.08818
공릉역,서울 노원구 동일로 1074,37.6889884,127.0555605
